Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
10616;453634.5500435402;5733911.774810135;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1497;454832.70700389467;5734399.8314513555;0;0;0;0;0;0;3;4;3;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0
2343;452859.6971711269;5736963.300911162;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
3674;455029.7057700396;5733966.880407763;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6700;453518.0878656827;5735042.103442069;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4521;452805.9201740684;5734716.15246546;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
3675;455059.51828648703;5734146.165390164;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6702;453519.313073204;5734972.987381865;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
6701;453524.6804553517;5735077.41245615;0;0;0;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6704;453449.9216184745;5734918.9721156275;0;0;0;0;0;0;3;1;2;0;2;0;0;0;1;4;4;1;0;1;0;0;0;0
4525;453220.4208810372;5730405.011906097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6703;453518.0878656827;5735042.103442069;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5858;453592.98141334817;5734861.493209135;0;0;0;0;0;0;0;0;1;0;1;2;2;0;0;0;1;2;3;0;0;0;0;0
5859;453589.0930683497;5735010.1715059085;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
5870;453743.0558132379;5730812.111805134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3693;452954.21035133523;5730342.711533887;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5871;453756.6507944358;5730904.114938706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
5872;453720.94040210376;5730604.657287818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4541;456725.10146191233;5735752.056710607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4542;456686.16568939143;5736360.08182453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
